City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Dryden,49.7833,-92.7503,17.16,63,100,4.12,CA,2023-07-15
1,Puerto Ayora,-0.7393,-90.3518,29.98,92,41,3.13,EC,2023-07-15
2,Arish,31.1316,33.7984,27.24,75,0,2.11,EG,2023-07-15
3,Ushuaia,-54.8,-68.3,1.81,69,40,10.8,AR,2023-07-15
4,Pionerskiy,54.9508,20.2275,20.97,57,98,6.67,RU,2023-07-15
5,Stanley,54.868,-1.6985,14.04,92,75,4.63,GB,2023-07-15
6,Ribeira Grande,38.5167,-28.7,19.87,100,75,0.89,PT,2023-07-15
7,Sangamner,19.5667,74.2167,24.15,81,100,4.04,IN,2023-07-15
8,West Island,-12.1568,96.8225,24.99,73,100,6.69,CC,2023-07-15
9,Tidjikja,18.5564,-11.4271,34.76,31,35,5.38,MR,2023-07-15
10,Puerto Natales,-51.7236,-72.4875,1.25,75,20,4.12,CL,2023-07-15
11,Albany,42.6001,-73.9662,31.46,68,100,1.34,US,2023-07-15
12,Ilulissat,69.2167,-51.1,2.56,98,100,2.92,GL,2023-07-15
13,Mareeba,-17.0,145.4333,17.4,93,79,0.97,AU,2023-07-15
14,Chania,35.5122,24.0156,30.78,62,0,1.54,GR,2023-07-15
15,Hamilton,39.1834,-84.5333,26.47,92,75,3.6,US,2023-07-15
16,Habo,57.9119,14.0744,21.31,64,75,6.69,SE,2023-07-15
17,Cumana,10.4635,-64.1775,28.73,76,50,4.35,VE,2023-07-15
18,Grytviken,-54.2811,-36.5092,-4.96,78,4,2.79,GS,2023-07-15
19,Tiksi,71.6872,128.8694,2.07,97,100,6.05,RU,2023-07-15
20,Mata-Utu,-13.2816,-176.1745,27.24,79,66,8.82,WF,2023-07-15
21,Klyuchi,52.2667,79.1667,18.24,53,18,3.15,RU,2023-07-15
22,Tazovsky,67.4667,78.7,7.85,71,100,5.4,RU,2023-07-15
23,Sal Rei,16.1833,-22.9167,26.27,79,95,4.35,CV,2023-07-15
24,Blackmans Bay,-43.0167,147.3167,12.07,69,99,6.89,AU,2023-07-15
25,Edinburgh Of The Seven Seas,-37.0676,-12.3116,14.22,83,100,17.62,SH,2023-07-15
26,Yeraliyev,43.2,51.65,26.58,49,11,4.57,KZ,2023-07-15
27,Invercargill,-46.4,168.35,7.55,87,56,6.9,NZ,2023-07-15
28,Margaret River,-33.95,115.0667,12.6,69,2,6.66,AU,2023-07-15
29,Kodiak,57.79,-152.4072,13.73,88,100,4.12,US,2023-07-15
30,Afaahiti,-17.75,-149.2833,25.93,70,30,5.06,PF,2023-07-15
31,Wailua Homesteads,22.0669,-159.378,27.44,73,75,5.66,US,2023-07-15
32,Namie,37.4833,141.0,27.21,75,100,1.61,JP,2023-07-15
33,Pombal,-6.7703,-37.8017,33.85,25,0,2.64,BR,2023-07-15
34,Waitangi,-43.9535,-176.5597,9.34,87,98,0.89,NZ,2023-07-15
35,Natal,-5.795,-35.2094,28.12,74,20,6.69,BR,2023-07-15
36,Adamstown,-25.066,-130.1015,22.18,80,96,8.95,PN,2023-07-15
37,Udachny,66.4167,112.4,6.92,70,19,1.72,RU,2023-07-15
38,Kempsey,-31.0833,152.8333,8.3,89,0,1.79,AU,2023-07-15
